Date,Year,Month,Policy_Rate_Percent,CPI_Inflation_Percent,GDP_Growth_Rate_Percent,Construction_Cost_Index,Producer_Price_Index,Exchange_Rate_PKR_USD,Foreign_Exchange_Reserves_Billion_USD,Current_Account_Deficit_Percent_GDP,Government_Debt_Percent_GDP,Unemployment_Rate_Percent
1/1/2020,2020,1,7.5,9.7,-1.27,100,145.2,154.5,13.2,-1.8,84.6,5.5
2/1/2020,2020,2,7.5,9.6,-1.27,101.2,146.8,155.2,13.1,-1.75,84.7,5.55
3/1/2020,2020,3,7,9.5,-1.27,101.8,147.5,155.8,12.9,-1.7,84.8,5.6
4/1/2020,2020,4,6.75,9.4,-1.27,102.3,148.2,157.2,12.7,-1.65,84.9,5.65
5/1/2020,2020,5,6.5,9.3,-1.27,102.9,149.1,158.5,12.5,-1.6,85,5.7
6/1/2020,2020,6,6.25,9.2,-1.27,103.4,150,160.1,12.3,-1.55,85.1,5.75
7/1/2020,2020,7,6,9.1,-1.27,104.1,151.2,161.5,12.1,-1.5,85.2,5.8
8/1/2020,2020,8,6,9,-1.27,104.7,152.1,163,11.9,-1.45,85.3,5.85
9/1/2020,2020,9,6,8.9,-1.27,105.4,153.2,164.8,11.7,-1.4,85.4,5.9
10/1/2020,2020,10,6,8.8,-1.27,106,154.5,166,11.5,-1.35,85.5,5.95
11/1/2020,2020,11,6,8.7,-1.27,106.8,155.8,167.5,11.3,-1.3,85.6,6
12/1/2020,2020,12,6,8.6,-1.27,107.5,157.2,169,11.1,-1.25,85.7,6.05
1/1/2021,2021,1,6,8.5,6.51,108.3,158.8,170.5,10.9,-0.8,86.2,6.1
2/1/2021,2021,2,6,8.4,6.51,109.1,160.2,171.8,10.7,-0.75,86.4,6.15
3/1/2021,2021,3,6,8.3,6.51,110,161.8,173.2,10.5,-0.7,86.6,6.2
4/1/2021,2021,4,6,8.2,6.51,111.2,163.5,152.5,10.3,-0.65,86.8,6.25
5/1/2021,2021,5,6,8.1,6.51,112.3,165.2,154.33,10.1,-0.6,87,6.3
6/1/2021,2021,6,6,8,6.51,113.5,167,155.4,9.9,-0.55,87.2,6.35
7/1/2021,2021,7,6.5,8.2,6.51,114.8,169,160.2,9.7,-0.5,87.4,6.4
8/1/2021,2021,8,7,8.4,6.51,116.2,171.2,165.2,9.5,-0.45,87.6,6.45
9/1/2021,2021,9,7.5,8.6,6.51,117.8,173.5,168.7,9.3,-0.4,87.8,6.5
10/1/2021,2021,10,8,8.8,6.51,119.5,176,171.68,9.1,-0.35,88,6.55
11/1/2021,2021,11,8.5,9,6.51,121.2,178.5,176,8.9,-0.3,88.2,6.6
12/1/2021,2021,12,9,9.2,6.51,123,181.2,177.9,8.7,-0.25,88.4,6.65
1/1/2022,2022,1,9.75,9.4,4.78,125.1,184.2,177,10.1,0.2,88.6,6.7
2/1/2022,2022,2,10.5,10.1,4.78,127.5,187.8,175.3,10.4,0.3,88.9,6.75
3/1/2022,2022,3,11.25,10.8,4.78,130.2,191.8,181.32,10.8,0.5,89.2,6.8
4/1/2022,2022,4,12,11.5,4.78,133.1,196.2,181.5,10.5,0.7,89.5,6.85
5/1/2022,2022,5,13,12.3,4.78,136.5,201.2,200.2,9.8,0.9,89.8,6.9
6/1/2022,2022,6,14,13.2,4.78,140.3,206.8,208.5,8.9,1.1,90.2,6.95
7/1/2022,2022,7,15,14.2,4.78,144.8,212.8,220.5,7.8,1.3,90.6,7
8/1/2022,2022,8,16,15.4,4.78,149.8,219.5,219.8,6.5,1.5,91,7.05
9/1/2022,2022,9,17,16.8,4.78,155.5,226.8,230.5,5.1,1.7,91.4,7.1
10/1/2022,2022,10,18,18.3,4.78,161.8,234.8,220.8,3.6,1.9,91.8,7.15
11/1/2022,2022,11,18.5,19.9,4.78,168.8,243.5,218.5,2.1,2.1,92.2,7.2
12/1/2022,2022,12,19,21.6,4.78,176.5,252.8,226.8,1.5,2.3,92.6,7.25
1/1/2023,2023,1,19.5,23.5,2.7,185.2,262.8,249.5,3.9,2.5,93,7.3
2/1/2023,2023,2,20,25.8,2.7,194.8,273.5,267.2,4.2,2.8,93.4,7.35
3/1/2023,2023,3,20.5,28.3,2.7,205.2,285.2,283.8,4.8,3.2,93.8,7.4
4/1/2023,2023,4,21,30.5,2.7,216.5,297.8,278.5,5.1,3.5,94.2,7.45
5/1/2023,2023,5,21,31.8,2.7,228.8,311.2,283.8,5.5,3.8,94.6,7.5
6/1/2023,2023,6,21,32.1,2.7,241.2,325.3,285.2,5.8,4.1,95,7.55
7/1/2023,2023,7,20.5,30.8,2.7,253.8,338.8,283.5,5.2,4.3,95.4,7.6
8/1/2023,2023,8,20,29.5,2.7,266.2,351.8,294.8,4.8,4.5,95.8,7.65
9/1/2023,2023,9,19.5,28.2,2.7,278.5,364.2,304.5,4.5,4.7,96.2,7.7
10/1/2023,2023,10,19,27.1,2.7,290.8,376.2,287.8,4.2,4.9,96.6,7.75
11/1/2023,2023,11,18.5,26.3,2.7,303.2,387.8,277.5,4.1,5.1,97,7.8
12/1/2023,2023,12,18,25.8,2.7,315.8,398.2,277.5,4.5,5.3,97.4,7.85
1/1/2024,2024,1,17,24.8,2.4,328.5,408.2,279.8,5.2,5.5,97.8,7.9
2/1/2024,2024,2,16,23.8,2.4,340.8,417.5,278.5,5.8,5.7,98.2,7.95
3/1/2024,2024,3,15,22.5,2.4,352.2,426.2,279.8,6.3,5.9,98.6,8
4/1/2024,2024,4,14.25,21.2,2.4,363.5,434.5,279.2,6.8,6.1,99,8.05
5/1/2024,2024,5,13.5,20.1,2.4,374.2,442.2,279.5,7.2,6.3,99.4,8.1
6/1/2024,2024,6,12.75,18.9,2.4,384.8,449.8,280.8,7.6,6.5,99.8,8.15
7/1/2024,2024,7,12,17.8,3,395.2,456.5,281.2,8.1,6.7,100.2,8.2
8/1/2024,2024,8,11.25,16.7,3,405.5,463.2,279.5,8.5,6.9,100.6,8.25
9/1/2024,2024,9,10.75,15.6,3,415.8,469.8,280.8,8.9,7.1,101,8.3
10/1/2024,2024,10,10.25,14.8,3,425.2,476.2,278.5,9.3,7.3,101.4,8.35
11/1/2024,2024,11,9.75,14.2,3,434.5,482.5,279.2,9.7,7.5,101.8,8.4
12/1/2024,2024,12,9.25,13.8,3,443.8,488.8,279.8,10.2,7.7,102.2,8.45
1/1/2025,2025,1,12,4.1,2.7,453.2,494.2,280.5,11.8,7.9,102.6,8.5
2/1/2025,2025,2,11.75,4.3,2.7,462.5,499.5,278.5,12.3,8.1,103,8.55
