Date,City,Location_Type,Society_Project,Block_Sector,Size,Price_PKR,Price_Per_Marla_PKR,Development_Status,Year,Month,Days_Since_Start
1/15/2020,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,2800000,560000,Fully Developed,2020,1,0
3/15/2020,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,2950000,590000,Fully Developed,2020,3,60
6/15/2020,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,3150000,630000,Fully Developed,2020,6,152
9/15/2020,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,3400000,680000,Fully Developed,2020,9,243
12/15/2020,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,3800000,760000,Fully Developed,2020,12,334
1/15/2021,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,4000000,800000,Fully Developed,2021,1,365
3/15/2021,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,4300000,860000,Fully Developed,2021,3,424
6/15/2021,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,4800000,960000,Fully Developed,2021,6,517
9/15/2021,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,5300000,1060000,Fully Developed,2021,9,608
12/15/2021,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,5900000,1180000,Fully Developed,2021,12,699
1/15/2022,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,6200000,1240000,Fully Developed,2022,1,730
3/15/2022,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,6600000,1320000,Fully Developed,2022,3,789
6/15/2022,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,7200000,1440000,Fully Developed,2022,6,882
9/15/2022,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,7800000,1560000,Fully Developed,2022,9,973
12/15/2022,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,8200000,1640000,Fully Developed,2022,12,1064
1/15/2023,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,8400000,1680000,Fully Developed,2023,1,1095
3/15/2023,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,8600000,1720000,Fully Developed,2023,3,1154
6/15/2023,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,8800000,1760000,Fully Developed,2023,6,1247
9/15/2023,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,9000000,1800000,Fully Developed,2023,9,1338
12/15/2023,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,9200000,1840000,Fully Developed,2023,12,1429
1/15/2024,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,9350000,1870000,Fully Developed,2024,1,1460
3/15/2024,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,9450000,1890000,Fully Developed,2024,3,1519
6/15/2024,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,9500000,1900000,Fully Developed,2024,6,1612
9/15/2024,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,9500000,1900000,Fully Developed,2024,9,1703
12/15/2024,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,9450000,1890000,Fully Developed,2024,12,1794
1/15/2025,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,9500000,1900000,Fully Developed,2025,1,1825
3/15/2025,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,9600000,1920000,Fully Developed,2025,3,1884
6/15/2025,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,9700000,1940000,Fully Developed,2025,6,1977
9/15/2025,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,9850000,1970000,Fully Developed,2025,9,2068
12/15/2025,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,10100000,2020000,Fully Developed,2025,12,2159
1/15/2026,Islamabad,Residential,DHA Islamabad,Phase 2,5 Marla,10350000,2070000,Fully Developed,2026,1,2190
2/15/2020,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,5600000,560000,Fully Developed,2020,2,32
5/15/2020,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,6300000,630000,Fully Developed,2020,5,120
8/15/2020,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,7200000,720000,Fully Developed,2020,8,213
11/15/2020,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,8200000,820000,Fully Developed,2020,11,304
2/15/2021,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,9000000,900000,Fully Developed,2021,2,397
5/15/2021,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,10200000,1020000,Fully Developed,2021,5,490
8/15/2021,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,11400000,1140000,Fully Developed,2021,8,581
11/15/2021,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,12800000,1280000,Fully Developed,2021,11,672
2/15/2022,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,13600000,1360000,Fully Developed,2022,2,762
5/15/2022,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,14800000,1480000,Fully Developed,2022,5,855
8/15/2022,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,16200000,1620000,Fully Developed,2022,8,946
